x,y
0.000000000000000000e+00,-1.037310069087464953e-01
1.000000000000000000e+00,-1.295416533866563524e-01
2.000000000000000000e+00,-1.580744769737927879e-01
3.000000000000000000e+00,-1.883021236659415121e-01
4.000000000000000000e+00,-2.187030533218526640e-01
5.000000000000000000e+00,-2.472574405254130414e-01
6.000000000000000000e+00,-2.714999736831009147e-01
7.000000000000000000e+00,-2.886387270174450848e-01
8.000000000000000000e+00,-2.957420006360196307e-01
9.000000000000000000e+00,-2.899856050529633356e-01
1.000000000000000000e+01,-2.689426644960265511e-01
1.100000000000000000e+01,-2.308882262636257621e-01
1.200000000000000000e+01,-1.750835996477494438e-01
1.300000000000000000e+01,-1.020020965669640317e-01
1.400000000000000000e+01,-1.345992762607626722e-02
1.500000000000000000e+01,8.737614482832604945e-02
1.600000000000000000e+01,1.961197251893488092e-01
1.700000000000000000e+01,3.074328438709679756e-01
1.800000000000000000e+01,4.154116219922771025e-01
1.900000000000000000e+01,5.140533304790116942e-01
2.000000000000000000e+01,5.977561113775970991e-01
2.100000000000000000e+01,6.617964325432871275e-01
2.200000000000000000e+01,7.027306515907760787e-01
2.300000000000000000e+01,7.186758294676149905e-01
2.400000000000000000e+01,7.094398684545244471e-01
2.500000000000000000e+01,6.764898564711335771e-01
2.600000000000000000e+01,6.227673004811467017e-01
2.700000000000000000e+01,5.523767765770225546e-01
2.800000000000000000e+01,4.701879272507695218e-01
2.900000000000000000e+01,3.813980612811538329e-01
3.000000000000000000e+01,2.911032942147899205e-01
3.100000000000000000e+01,2.039207192080236264e-01
3.200000000000000000e+01,1.236938998816146662e-01
3.300000000000000000e+01,5.330096905964665233e-02
3.400000000000000000e+01,-5.429096114217712987e-03
3.500000000000000000e+01,-5.169894891056908692e-02
3.600000000000000000e+01,-8.564083353835125201e-02
3.700000000000000000e+01,-1.081530251371497636e-01
3.800000000000000000e+01,-1.207002121697087205e-01
3.900000000000000000e+01,-1.251022887019517804e-01
4.000000000000000000e+01,-1.233323038800513971e-01
4.100000000000000000e+01,-1.173388561232180105e-01
4.200000000000000000e+01,-1.089020763984468176e-01
4.300000000000000000e+01,-9.952649275698532971e-02
4.400000000000000000e+01,-9.036928511255380714e-02
4.500000000000000000e+01,-8.219922937108811722e-02
4.600000000000000000e+01,-7.538019255420340403e-02
4.700000000000000000e+01,-6.987327493373415854e-02
4.800000000000000000e+01,-6.525324207929404652e-02
4.900000000000000000e+01,-6.073719980417503078e-02
5.000000000000000000e+01,-5.522588877320906697e-02
5.100000000000000000e+01,-4.735986410119655959e-02
5.200000000000000000e+01,-3.559363311250830775e-02
5.300000000000000000e+01,-1.829020276122179933e-02
5.400000000000000000e+01,6.163643156336606754e-03
5.500000000000000000e+01,3.922443141757459006e-02
5.600000000000000000e+01,8.204871776758093649e-02
5.700000000000000000e+01,1.353508643609018791e-01
5.800000000000000000e+01,1.992765619748244066e-01
5.900000000000000000e+01,2.733082693964167809e-01
6.000000000000000000e+01,3.562178000060923222e-01
6.100000000000000000e+01,4.460776333207149280e-01
6.200000000000000000e+01,5.403363819270790014e-01
6.300000000000000000e+01,6.359559465054980265e-01
6.400000000000000000e+01,7.295994372476242162e-01
6.500000000000000000e+01,8.178513795874244874e-01
6.600000000000000000e+01,8.974464828864288091e-01
6.700000000000000000e+01,9.654814344697791872e-01
6.800000000000000000e+01,1.019586291431054947e+00
6.900000000000000000e+01,1.058037844488775026e+00
7.000000000000000000e+01,1.079805855184897467e+00
7.100000000000000000e+01,1.084532807704055690e+00
7.200000000000000000e+01,1.072457036212098203e+00
7.300000000000000000e+01,1.044296196280702027e+00
7.400000000000000000e+01,1.001111944358109795e+00
7.500000000000000000e+01,9.441769591133516437e-01
7.600000000000000000e+01,8.748623977587901557e-01
7.700000000000000000e+01,7.945584265027350046e-01
7.800000000000000000e+01,7.046338056895979918e-01
7.900000000000000000e+01,6.064338671639291078e-01
8.000000000000000000e+01,5.013105603358696261e-01
8.100000000000000000e+01,3.906741453589175350e-01
8.200000000000000000e+01,2.760537626039891723e-01
8.300000000000000000e+01,1.591534122744564239e-01
8.400000000000000000e+01,4.189061479705569191e-02
8.500000000000000000e+01,-7.359301853761626711e-02
8.600000000000000000e+01,-1.849570309226053200e-01
8.700000000000000000e+01,-2.897268789987679227e-01
8.800000000000000000e+01,-3.853970498691510205e-01
8.900000000000000000e+01,-4.695660440992101003e-01
9.000000000000000000e+01,-5.400914949701283163e-01
9.100000000000000000e+01,-5.952493471916132650e-01
9.200000000000000000e+01,-6.338784305083603465e-01
9.300000000000000000e+01,-6.554916592935235986e-01
9.400000000000000000e+01,-6.603378349648576506e-01
9.500000000000000000e+01,-6.494034655217503227e-01
9.600000000000000000e+01,-6.243514273783355994e-01
9.700000000000000000e+01,-5.874015123082588774e-01
9.800000000000000000e+01,-5.411655341388138529e-01
9.900000000000000000e+01,-4.884554062912320749e-01
